playername,season,team,predicted_2019
Jesper Olofsson ,2019-20,Färjestad BK,0.4532919755307339
Jack Connolly ,2019-20,Luleå HF,0.5511203079372701
Markus Modigs ,2019-20,IK Oskarshamn,0.23580448586759473
Linus Hultström ,2019-20,Djurgårdens IF,0.5940102181803479
Joakim Thelin ,2019-20,IK Oskarshamn,0.334873891389984
Kristian Näkyvä ,2019-20,Örebro HK,0.6048497715854441
Linus Johansson ,2019-20,Färjestad BK,0.3669353335041386
Oliver Bohm ,2019-20,Växjö Lakers HC,0.16393215052674637
Anton Bengtsson ,2019-20,Rögle BK,0.33645681750370166
Johan Johnsson ,2019-20,HV71,0.26670325968535924
Dan Pettersson ,2019-20,Linköping HC,0.25133306327408816
Marcus Nilsson ,2019-20,Färjestad BK,0.5157245305519302
Lars Bryggman ,2019-20,Malmö Redhawks,0.4643667178988378
Niklas Olausson ,2019-20,Luleå HF,0.5031112739678676
Christoffer Persson ,2019-20,HV71,0.1570052425820856
Nicklas Heinerö ,2019-20,IK Oskarshamn,0.31531109440377386
Rasmus Rissanen ,2019-20,Örebro HK,0.1358453422681028
Konstantin Komarek ,2019-20,Malmö Redhawks,0.5873577486460694
David Printz ,2019-20,Frölunda HC,0.1147970837718322
Roman Horák ,2019-20,Växjö Lakers HC,0.626256854288004
Mats Rosseli Olsen ,2019-20,Frölunda HC,0.2980214163509379
Jesper Williamsson ,2019-20,HV71,0.14221138262685226
Karl Fabricius ,2019-20,Luleå HF,0.33919087958519917
Andreas Wingerli ,2019-20,Skellefteå AIK,0.43761340918307373
Marcus Björk ,2019-20,Malmö Redhawks,0.31720008735546545
Christopher Mastomäki ,2019-20,Örebro HK,0.3668456063209179
Jesper Jensen ,2019-20,Malmö Redhawks,0.35155578540446675
Max Lindroth ,2019-20,Linköping HC,0.20628827640785447
Theodor Lennström ,2019-20,Frölunda HC,0.3134489992149723
Tom Wandell ,2019-20,Djurgårdens IF,0.3435128719770963
Patrik Norén ,2019-20,Skellefteå AIK,0.17382186608028852
Niclas Bergfors ,2019-20,Djurgårdens IF,0.3941651935665572
Martin Johansson ,2019-20,Färjestad BK,0.2649059211821996
Mattias Ritola ,2019-20,Leksands IF,0.418020213925548
Martin Thörnberg ,2019-20,HV71,0.47150567476983185
Emil Wahlberg ,2019-20,IK Oskarshamn,0.2681713166938016
Samuel Asklöf ,2019-20,Brynäs IF,0.18439969306535958
Marcus Ersson ,2019-20,Brynäs IF,0.155618138179196
Simon Ryfors ,2019-20,Rögle BK,0.39262640308519486
John Dahlström ,2019-20,IK Oskarshamn,0.22875978364148972
Max Lindholm ,2019-20,Örebro HK,0.36292052761051335
Carl-Johan Lerby ,2019-20,Malmö Redhawks,0.47999315010460447
Jacob Moverare ,2019-20,Frölunda HC,0.24361249383998565
Kalle Östman ,2019-20,Djurgårdens IF,0.37920657804017716
Fredrik Karlström ,2019-20,Växjö Lakers HC,0.35738219103010543
Jon Knuts ,2019-20,Leksands IF,0.3580862516077573
Emil Molin ,2019-20,Brynäs IF,0.4300936480393199
Johannes Kinnvall ,2019-20,HV71,0.30454063679007004
Joakim Lindström ,2019-20,Skellefteå AIK,0.6569045560071664
Samuel Jonsson ,2019-20,Rögle BK,0.18324855757909184
Isac Brännström ,2019-20,Luleå HF,0.23886612863533274
Marcus Davidsson ,2019-20,Växjö Lakers HC,0.53040343460623
Jason Garrison ,2019-20,Djurgårdens IF,0.47611589769037804
Linus Lindström ,2019-20,Skellefteå AIK,0.23766364465350132
Kodie Curran ,2019-20,Rögle BK,0.5858506137983646
Linus Högberg ,2019-20,Växjö Lakers HC,0.1835969307826875
Jesper Sellgren ,2019-20,Luleå HF,0.27640564055723543
Filip Sveningsson ,2019-20,IK Oskarshamn,0.39435338251952773
Erik Walli Walterholm ,2019-20,Djurgårdens IF,0.18797568639167828
Spencer Abbott ,2019-20,Leksands IF,0.6128564730274404
Lucas Nordsäter ,2019-20,Leksands IF,0.11907746980710483
Linus Fröberg ,2019-20,HV71,0.5107686361684468
Shane Harper ,2019-20,Örebro HK,0.5369353761025554
Johan Olofsson ,2019-20,Malmö Redhawks,0.42813901463143117
Dominik Bokk ,2019-20,Rögle BK,0.4089158875252805
Gustav Possler ,2019-20,Djurgårdens IF,0.2982190608047705
David Rundqvist ,2019-20,Leksands IF,0.4111609616929964
Olle Lycksell ,2019-20,Linköping HC,0.3734493311418614
Albin Eriksson ,2019-20,Skellefteå AIK,0.362726599273143
Malte Setkov ,2019-20,Malmö Redhawks,0.19970869616443934
Pontus Holmberg ,2019-20,Växjö Lakers HC,0.30709053855752644
Max Görtz ,2019-20,Malmö Redhawks,0.6603954263514832
Fredrik Händemark ,2019-20,Malmö Redhawks,0.5948784025098669
Glenn Gustafsson ,2019-20,Örebro HK,0.21649871068258716
Jonatan Berggren ,2019-20,Skellefteå AIK,0.24131371619541878
Adam Ginning ,2019-20,Linköping HC,0.13855201657627642
Viktor Lodin ,2019-20,Örebro HK,0.20642544074338723
Samuel Fagemo ,2019-20,Frölunda HC,0.5552943152570645
Marcus Sylvegård ,2019-20,Växjö Lakers HC,0.38570258470384416
Simon Johansson ,2019-20,Djurgårdens IF,0.21670770254911453
Jesper Pettersson ,2019-20,Djurgårdens IF,0.27677749842330235
Mikael Frycklund ,2019-20,Linköping HC,0.31117533402130915
Filip Hållander ,2019-20,Luleå HF,0.474068166990302
Oskar Bäck ,2019-20,Färjestad BK,0.21351421506260415
Tobias Ekberg ,2019-20,Malmö Redhawks,0.3890530023405027
Emil Forslund ,2019-20,Brynäs IF,0.30789731486394006
Joel Lundqvist ,2019-20,Frölunda HC,0.5788814244731997
Nils Höglander ,2019-20,Rögle BK,0.3251673961155137
Jacob Peterson ,2019-20,Frölunda HC,0.20017369671206292
Jacob Olofsson ,2019-20,Skellefteå AIK,0.43352220580669865
Filip Johansson ,2019-20,Leksands IF,0.09503248029695507
Carl Jakobsson ,2019-20,Färjestad BK,0.2270969736744638
Arsi Piispanen ,2019-20,IK Oskarshamn,0.34465199866944707
Gustav Backström ,2019-20,Örebro HK,0.16216702932578037
Filip Cederqvist ,2019-20,Växjö Lakers HC,0.3123775674172118
Jonathan Pudas ,2019-20,Skellefteå AIK,0.564419677560707
Tom Nilsson ,2019-20,Djurgårdens IF,0.13680263367418072
Emil Larsson ,2019-20,Luleå HF,0.43750516722794985
Linus Arnesson ,2019-20,Färjestad BK,0.3189324245993935
Gustav Rydahl ,2019-20,Färjestad BK,0.4832763516413021
Jonathan Andersson ,2019-20,Örebro HK,0.24819058543306002
Nick Sörensen ,2019-20,Rögle BK,0.5454047810877988
Michael Haga ,2019-20,Djurgårdens IF,0.5060635249082072
Nicolai Meyer ,2019-20,Malmö Redhawks,0.5388751055257943
Broc Little ,2019-20,Linköping HC,0.6882009996613389
Johan Alcén ,2019-20,Brynäs IF,0.2755014129837411
Erik Andersson ,2019-20,Rögle BK,0.1900760151497924
Victor Söderström ,2019-20,Brynäs IF,0.2313216450280695
Simon Lundmark ,2019-20,Linköping HC,0.15523528792010577
Carl Mattsson ,2019-20,Luleå HF,0.1450303002251612
Philip Broberg ,2019-20,Skellefteå AIK,0.26040253711168404
Christian Lindberg ,2019-20,IK Oskarshamn,0.11449794092555506
Daniel Widing ,2019-20,Djurgårdens IF,0.28680971800747046
Patrik Carlsson ,2019-20,Frölunda HC,0.5926476089961921
Christoffer Törngren ,2019-20,HV71,0.3494911139501219
Michael Lindqvist ,2019-20,Färjestad BK,0.8598101568768796
Niclas Andersén ,2019-20,Brynäs IF,0.19867276670366807
Brendan Shinnimin ,2019-20,Växjö Lakers HC,0.47145139953593
Dick Axelsson ,2019-20,Djurgårdens IF,0.606823485175473
Jonas Ahnelöv ,2019-20,Leksands IF,0.23671615793983242
Oscar Engsund ,2019-20,Luleå HF,0.25682038081534786
Filiph Engsund ,2019-20,IK Oskarshamn,0.2597152835579156
Nils Lundkvist ,2019-20,Luleå HF,0.3350223208771397
Anton Hedman ,2019-20,Djurgårdens IF,0.463465234990761
Daniel Rahimi ,2019-20,Växjö Lakers HC,0.20164652884116716
Leon Bristedt ,2019-20,Rögle BK,0.6512109786664046
Robin Norell ,2019-20,Djurgårdens IF,0.11294464503289553
Didrik Strömberg ,2019-20,HV71,0.2442398622994083
Adam Brodecki ,2019-20,Brynäs IF,0.45524736347355454
Per Åslund ,2019-20,Färjestad BK,0.3938908121636278
Daniel Zaar ,2019-20,Rögle BK,0.5221717898891808
Jacob Andersson ,2019-20,Skellefteå AIK,0.2491179976634188
Arvid Lundberg ,2019-20,Skellefteå AIK,0.14378694963883437
Mattias Sjögren ,2019-20,Rögle BK,0.41116822401024267
Christoffer Forsberg ,2019-20,Malmö Redhawks,0.2657813557164317
Joakim Andersson ,2019-20,HV71,0.45440135794069486
Johan Ryno ,2019-20,Färjestad BK,0.5018612336587739
Mattias Guter ,2019-20,Djurgårdens IF,0.2872663184440705
Axel Ottosson ,2019-20,Linköping HC,0.2689404879634713
Robin Söderqvist ,2019-20,IK Oskarshamn,0.18647058869222982
Anders Grönlund ,2019-20,Frölunda HC,0.23999978218093113
Nichlas Torp ,2019-20,IK Oskarshamn,0.1679745662826422
Simon Önerud ,2019-20,HV71,0.47581486156887215
Christian Sandberg ,2019-20,HV71,0.42569050263177166
Viktor Ekbom ,2019-20,Frölunda HC,0.20406768217858917
Simon Hjalmarsson ,2019-20,Frölunda HC,0.5114988546422731
Thomas Valkvæ Olsen ,2019-20,Leksands IF,0.5331442550827743
Daniel Sondell ,2019-20,Luleå HF,0.3764163613056066
Jimmy Andersson ,2019-20,Linköping HC,0.42024180019977164
Oscar Möller ,2019-20,Skellefteå AIK,0.6312965756118717
Erik Gustafsson ,2019-20,Luleå HF,0.6132684211988724
Sebastian Erixon ,2019-20,Färjestad BK,0.2886070087882208
Robin Alvarez ,2019-20,Skellefteå AIK,0.41963028000588287
Niclas Lundgren ,2019-20,Brynäs IF,0.16826563324472985
Erik Josefsson ,2019-20,Växjö Lakers HC,0.2803054584897064
Anton Mylläri ,2019-20,Linköping HC,0.30681972551127684
Oskar Nilsson ,2019-20,IK Oskarshamn,0.281137079072741
Nicklas Danielsson ,2019-20,Brynäs IF,0.47905566312689507
Mattias Karlsson ,2019-20,Leksands IF,0.2955028072094353
Marcus Weinstock ,2019-20,Örebro HK,0.3710252761228936
Carl Persson ,2019-20,Malmö Redhawks,0.19723350198962322
Jens Westin ,2019-20,Färjestad BK,0.19946422233307476
Lukas Kilström ,2019-20,Brynäs IF,0.1648374557461006
Ludvig Nilsson ,2019-20,Växjö Lakers HC,0.35838623991898844
Johan Ivarsson ,2019-20,Färjestad BK,0.2749022908972549
Josef Ingman ,2019-20,Brynäs IF,0.2537394016158096
Henrik Hetta ,2019-20,Malmö Redhawks,0.32430369283124283
Linus Persson ,2019-20,Leksands IF,0.41455580375696494
Stefan Warg ,2019-20,Örebro HK,0.23028803224784775
Daniel Bertov ,2019-20,Rögle BK,0.19537026651216213
Rickard Palmberg ,2019-20,IK Oskarshamn,0.688448362755233
Henrik Eriksson ,2019-20,Djurgårdens IF,0.25723487648040866
Martin Lundberg ,2019-20,Växjö Lakers HC,0.16247565968660072
Daniel Viksten ,2019-20,Färjestad BK,0.3632480229611583
Niclas Burström ,2019-20,Skellefteå AIK,0.1612322819793883
Erlend Lesund ,2019-20,Rögle BK,0.17945804834544876
Tuomas Kiiskinen ,2019-20,Skellefteå AIK,0.4239786058717295
Jacob Josefson ,2019-20,Djurgårdens IF,0.7133218713851477
Joonas Jalvanti ,2019-20,Luleå HF,0.17689741060459624
Robin Kovács ,2019-20,Luleå HF,0.5472878017849119
Daniel Muzito Bagenda ,2019-20,Örebro HK,0.41739334020914565
Pontus Själin ,2019-20,Luleå HF,0.17124796303449408
Gustaf Franzén ,2019-20,IK Oskarshamn,0.3776943064854397
Henrik Törnqvist ,2019-20,Linköping HC,0.5866275394438387
Hampus Larsson ,2019-20,Linköping HC,0.17194902557455527
Mathias Bromé ,2019-20,Örebro HK,0.6644270792446543
Jesper Frödén ,2019-20,Skellefteå AIK,0.3056683409588052
Rhett Rakhshani ,2019-20,Frölunda HC,0.50285341964439
Craig Schira ,2019-20,Rögle BK,0.2566980992250178
Jonathan Sigalet ,2019-20,Brynäs IF,0.4422472372630586
Robin Johansson ,2019-20,Linköping HC,0.3454197228181837
Sebastian Stålberg ,2019-20,Frölunda HC,0.27440668608752417
Sebastian Wännström ,2019-20,Leksands IF,0.43397013060833645
Fredrik Styrman ,2019-20,Luleå HF,0.18164185718037731
Jesper Dahlroth ,2019-20,IK Oskarshamn,0.2821372502094178
Jonas Berglund ,2019-20,Luleå HF,0.20834432295252778
